test_type,clustering,hyperparameters,label_accuracy,Silhoutte,Calinski_Harbasz,Davies_Bouldin,RAND,ARAND,MIS,AMIS,NMIS,Hmg,Cmplt,V_meas,FMs
eigenvector_3d_data,spectral,"('kmeans', 'nearest_neighbors', 2)",0.2681992337164751,0.02288933182811032,11.443876491553524,6.551035341963303,0.6067097609224819,0.19822865430445263,0.08450383555192295,0.14280906063905655,0.14421785652389613,0.16659856037144663,0.12713822003716788,0.14421785652389615,0.6775008085345029
eigenvector_3d_data,spectral,"('kmeans', 'rbf', 2)",0.6934865900383141,0.04099837950073181,31.85067309096488,2.121187054142296,0.5740581404755076,-0.08060857034679736,0.014800385947099478,0.03252970634498758,0.03474023924804197,0.029178829287737025,0.04292084145096877,0.03474023924804197,0.7147537601277293
eigenvector_3d_data,spectral,"('discretize', 'nearest_neighbors', 2)",0.7298850574712644,0.0228999133069379,11.467436526240697,6.55052819304858,0.6049374544973195,0.19513044294532572,0.08362147594268883,0.14118969280256605,0.14260002340779881,0.16485899624789874,0.12563676721438075,0.14260002340779881,0.6758347204690118
eigenvector_3d_data,spectral,"('discretize', 'rbf', 2)",0.6896551724137931,0.04137450291552808,31.761527754410135,2.175133559213424,0.5711165530478522,-0.08238315110565594,0.015648921426992347,0.034206667469166355,0.03639167681347775,0.030851709441057234,0.04435670354406173,0.03639167681347775,0.7113444182847313
eigenvector_3d_data,spectral,"('cluster_qr', 'nearest_neighbors', 2)",0.27011494252873564,0.0228999133069379,11.467436526240697,6.55052819304858,0.6049374544973195,0.19513044294532572,0.08362147594268883,0.14118969280256605,0.14260002340779881,0.16485899624789874,0.12563676721438075,0.14260002340779881,0.6758347204690118
eigenvector_3d_data,spectral,"('cluster_qr', 'rbf', 2)",0.31417624521072796,0.041090786735012104,31.285734973391133,2.2448880122165167,0.56823379736875,-0.08404711486258949,0.016506870990357907,0.035880487213639005,0.03804090709930112,0.03254314937623259,0.045773821211981314,0.038040907099301115,0.7079737129668146
eigenvector_3d_data,kmeans,"('lloyd', 2)",0.30842911877394635,0.0412305347269784,31.85529061993749,2.14631319327022,0.5725799927931108,-0.08150981294146616,0.015223460005783847,0.03336858930746162,0.035566239832654674,0.030012916032403338,0.043641225068447004,0.035566239832654674,0.713044289757383
eigenvector_3d_data,kmeans,"('lloyd', 3)",0.14367816091954022,0.031175268739769293,18.41021948811243,7.5211651796114465,0.5009596928982726,0.0601273805241651,0.07527446493896628,0.10040553217278325,0.10278480944539359,0.1484029382767744,0.07861810039119002,0.10278480944539359,0.5562861491175611
eigenvector_3d_data,kmeans,"('lloyd', 4)",0.01532567049808429,0.0181059797471277,11.943177185065855,1.9422154718211466,0.5656157845581368,-0.08794441573088499,0.016982218453764034,0.03056528764014252,0.03712003082271592,0.03348029267348589,0.041647667605611886,0.037120030822715915,0.7055078027115227
eigenvector_3d_data,kmeans,"('lloyd', 5)",0.12643678160919541,0.02931984399871575,9.806212567729466,7.044922292359739,0.5034600422117795,0.09103078893774691,0.07944156747904164,0.09035200363577686,0.09475154294553016,0.15661834388011162,0.06792145868223912,0.09475154294553016,0.5469307823685923
eigenvector_3d_data,kmeans,"('lloyd', 6)",0.2624521072796935,0.02607064007120605,8.042092500130389,5.21322406109164,0.48659003831417624,0.0445858675584429,0.07528113652878432,0.08995241087249832,0.09600473007041456,0.14841609125677602,0.07094969639794228,0.09600473007041456,0.5372885552912045
eigenvector_3d_data,kmeans,"('lloyd', 7)",0.4482758620689655,0.02892329710901732,6.876449892708982,4.560285202488196,0.5037909707973908,0.07605589561210317,0.08525899050966002,0.10103469372305532,0.10794415794939344,0.1680873416556885,0.07949877225317714,0.10794415794939344,0.5542628617196642
eigenvector_3d_data,kmeans,"('lloyd', 8)",0.011494252873563218,0.007881432029375423,6.760392219112091,3.8971744190676025,0.5173958126502968,0.09834732443697947,0.09414542560387641,0.1084544152190344,0.11617499942513855,0.1856068694245918,0.08454746128921138,0.11617499942513855,0.5687915975073115
eigenvector_3d_data,kmeans,"('elkan', 2)",0.6915708812260536,0.0412305347269784,31.85529061993749,2.14631319327022,0.5725799927931108,-0.08150981294146616,0.015223460005783847,0.03336858930746162,0.035566239832654674,0.030012916032403338,0.043641225068447004,0.035566239832654674,0.713044289757383
eigenvector_3d_data,kmeans,"('elkan', 3)",0.05938697318007663,0.028595753956016757,16.43640408971663,8.21277591474802,0.5304785227347938,-0.08813904438624658,0.017666039168752423,0.029081088990027166,0.032591538320982126,0.03482843913246217,0.030624632348236484,0.03259153832098213,0.6576201388650543
eigenvector_3d_data,kmeans,"('elkan', 4)",0.0019157088122605363,0.027912999078924063,11.336267800245501,3.6502654995508235,0.5616887653422169,-0.07743080331721244,0.01883512945015615,0.033272401451060155,0.03945559851654139,0.037133290226545775,0.042087758209385234,0.03945559851654139,0.6975784087826634
eigenvector_3d_data,kmeans,"('elkan', 5)",0.11494252873563218,0.030877459779317155,9.971082601253384,7.33804715761148,0.509541774218457,0.08583466309264501,0.07443985900035481,0.08636537291185249,0.09069359214167963,0.14675752009022716,0.0656240589912506,0.09069359214167963,0.5602598389810732
eigenvector_3d_data,kmeans,"('elkan', 6)",0.007662835249042145,0.02771724599170808,7.217460641104987,5.057666351897638,0.5277869702384892,-0.090084629027858,0.019410997320742383,0.0249325529792733,0.03386104661013006,0.03826860861271403,0.030363903819323176,0.03386104661013006,0.6543850232846067
